Class Name,Image Count
Corn_Leaf_Aphid,1698
Corn_Planthopper,1071
Corn_Stemfly,854
Corn_leaf_blight,190
Corn_rust_leaf,116
Cornus_mas,279
Cornus_sanguinea,314
Coronilla_glauca,114
Coronilla_juncea,45
Coronilla_valentina,90
Coronilla_varia,107
Corydalis_solida,51
Corylus_avellana,408
Cotinus_coggygria,359
Cotton_Aphid,191
Cotton_Bollworm,308
Cotton_Cutworm,1066
Cotton_Leafworm,656
Cotton_Whitefly,820
Cotton___Bacterial_blight,432
Cotton___Curl_virus,379
Cotton___Fusarium_wilt,395
Cotton___healthy,384
Crataegus_azarolus,126
Crataegus_germanica,143
Crataegus_laevigata,119
Crataegus_monogyna,607
Crepis_bursifolia,36
Crepis_capillaris,42
Crepis_foetida,43
Crepis_sancta,46
Crepis_setosa,34
Crithmum_maritimum,115
Crocus_nudiflorus,37
Cruciata_laevipes,43
Cucumis_sativus,40
Cupressus_sempervirens,51
Cyanus_montanus,75
Cyanus_segetum,103
Cyclamen_hederifolium,46
Cydonia_oblonga,188
Cymbalaria_muralis,128
Cynoglossum_creticum,61
Cypripedium_calceolus,116
Cytisus_lanigerus,49
Cytisus_oromediterraneus,47
Cytisus_scoparius,111
Dactylis_glomerata,97
Dactylorhiza_fuchsii,81
Dactylorhiza_incarnata,42
Dactylorhiza_maculata,140
Dactylorhiza_majalis,60
Dactylorhiza_sambucina,52
Daphne_cneorum,198
Daphne_gnidium,62
Daphne_laureola,62
Daphne_mezereum,42
Datura_stramonium,133
Daucus_carota,193
Deficiency_Boron,5936
Deficiency_Fn,12
Deficiency_Nitrogen,57
Deficiency_Phosphorus,66
Deficiency_Potassium,68
Deficiency_Sulfur,882
Deficiency_Zinc,1212
Dianthus_armeria,48
Dianthus_carthusianorum,55
Dianthus_gallicus,45
Dianthus_hyssopifolius,84
Dicentra_spectabilis,30
Digitalis_grandiflora,58
Digitalis_lutea,82
Digitalis_purpurea,195
Dioscorea_communis,82
Diospyros_kaki,279
Dipcadi_serotinum,37
Diphasiastrum_tristachyum,22
Diplotaxis_erucoides,166
Diplotaxis_tenuifolia,58
Dipsacus_fullonum,130
Dittrichia_viscosa,59
Doronicum_grandiflorum,30
Dorycnium_hirsutum,51
Dorycnium_pentaphyllum,42
Draba_verna,67
Dracunculus_vulgaris,38
Drosera_rotundifolia,74
Dryas_octopetala,75
Dryopteris_filix_mas,65
Ecballium_elaterium,58
Echinophora_spinosa,54
Echinops_ritro,73
Echium_vulgare,143
Elaeagnus_angustifolia,104
Ephedra_distachya,42
Epilobium_angustifolium,109
Epilobium_dodonaei,51
Epilobium_hirsutum,124
Epilobium_tetragonum,39
Epipactis_atrorubens,74
Epipactis_helleborine,104
Epipactis_palustris,42
Equisetum_telmateia,62
Eranthis_hyemalis,12
Erica_arborea,72
Erica_cinerea,94
Erica_tetralix,58
Erica_vagans,22
Erigeron_annuus,76
Erigeron_canadensis,74
Erigeron_karvinskianus,100
Erigeron_sumatrensis,130
Erinus_alpinus,57
Eriobotrya_japonica,246
Eriophorum_angustifolium,46
Erodium_ciconium,76
Erodium_cicutarium,86
Erodium_foetidum,58
Erodium_malacoides,88
Eryngium_bourgatii,51
Eryngium_campestre,75
Eryngium_maritimum,87
Eryngium_spinalba,14
Erysimum_cheiri,66
Erythronium_dens_canis,70
Eschscholzia_californica,35
Euonymus_europaeus,152
Euonymus_latifolius,50
Eupatorium_cannabinum,128
Euphorbia_amygdaloides,110
Euphorbia_characias,383
Euphorbia_cyparissias,84
Euphorbia_dendroides,38
Euphorbia_flavicoma,61
Euphorbia_helioscopia,76
Euphorbia_lathyris,67
Euphorbia_nicaeensis,64
Euphorbia_paralias,82
Euphorbia_peplis,47
Euphorbia_peplus,51
Euphorbia_segetalis,79
Euphorbia_seguieriana,40
Euphorbia_serrata,40
Euphorbia_spinosa,35
Fagus_sylvatica,306
Fall_Webworm,529
Fat_Hen_Seedling,538
Fatsia_japonica,58
Feijoa_sellowiana,33
Ferula_communis,65
Ficaria_verna,162
Ficus_carica,297
Filipendula_ulmaria,73
Filipendula_vulgaris,52
Foeniculum_vulgare,85
Fragaria_vesca,94
Frangula_dodonei,114
Fraxinus_angustifolia,328
Fraxinus_excelsior,330
Fraxinus_ornus,241
Fritillaria_meleagris,86
Fritillaria_pyrenaica,47
Fruit_Alternaria_Mango,114
Fruit_Alternaria_Pomegranate,886
Fruit_Anthracnose_Guava,100
Fruit_Anthracnose_Mango,78
Fruit_Anthracnose_Pomegranate,1166
Fruit_Bacterial_Blight_Pomegranate,966
Fruit_Cercospora_Pomegranate,631
Fruit_Fruitfly_Guava,100
Fruit_Grading,1855
Fruit_Rot,422
Fruit_Surface_Defects,186
Fumaria_capreolata,51
Fumaria_officinalis,67
Gagea_bohemica,49
Gagea_granatelli,29
Galactites_tomentosus,57
Galanthus_nivalis,53
Galeopsis_tetrahit,101
Galinsoga_quadriradiata,51
Galium_aparine,69
Galium_odoratum,38
Galium_verum,55
Genista_hispanica,41
Genista_pilosa,46
Genista_sagittalis,63
Genista_scorpius,66
Genista_tinctoria,71
Gentiana_acaulis,44
Gentiana_alpina,28
Gentiana_burseri,34
Gentiana_cruciata,38
Gentiana_lutea,102
Gentiana_nivalis,48
Gentiana_pneumonanthe,97
Gentiana_purpurea,75
Gentiana_pyrenaica,34
Gentiana_verna,61
Gentianella_campestris,62
Gentianopsis_ciliata,55
Geranium_columbinum,75
Geranium_dissectum,87
Geranium_lucidum,48
Geranium_molle,165
Geranium_nodosum,69
Geranium_phaeum,73
Geranium_pratense,48
Geranium_pusillum,35
Geranium_pyrenaicum,83
Geranium_robertianum,144
Geranium_rotundifolium,101
Geranium_sanguineum,65
Geranium_sylvaticum,97
Geum_montanum,57
Geum_reptans,41
Geum_rivale,51
Geum_urbanum,93
Ginger___healthy,187
Ginkgo_biloba,258
Gladiolus_italicus,66
Glaucium_flavum,149
Glechoma_hederacea,109
Gleditsia_triacanthos,293
Globularia_alypum,61
Globularia_bisnagarica,93
Globularia_repens,33
Grain_Spreader_Thrips,173
Grape_Berry_Moth,419
Grape_Downy_Mildew_Mite,722
Grape_Flea_Beetle,74
Grape_Mealybug,258
Grape_Rose_Chafer,225
Grape_Sawfly,99
Grape_Whitefly,690
Grape___Black_rot,1180
Grape___Esca_(Black_Measles),1383
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1076
Grape___healthy,423
Green_Citrus_Aphid,1150
Green_Stinkbug,299
Gryllotalpa,654
Gymnadenia_conopsea,57
Gymnadenia_nigra,60
Hedera_helix,603
Helianthemum_apenninum,85
Helianthemum_nummularium,99
Helianthus_annuus,47
Helichrysum_stoechas,84
Heliotropium_europaeum,60
Helleborus_foetidus,124
Helleborus_viridis,43
Helminthotheca_echioides,94
Hemerocallis_fulva,44
Heracleum_pyrenaicum,21
Heracleum_sphondylium,124
Hesperis_matronalis,59
Hibiscus_rosa_sinensis,51
Hibiscus_syriacus,79
Himantoglossum_hircinum,111
Himantoglossum_robertianum,137
Hippocrepis_comosa,46
Hippocrepis_emerus,71
Holcus_lanatus,80
Homogyne_alpina,62
Honckenya_peploides,30
Hormathophylla_spinosa,42
Humulus_lupulus,70
Hyacinthoides_non_scripta,102
Hydrangea_macrophylla,31
Hylotelephium_telephium,45
Hyoscyamus_albus,93
Hyoseris_radiata,37
Hyparrhenia_hirta,37
Hypericum_androsaemum,52
Hypericum_hirsutum,48
Hypericum_perforatum,90
Hypericum_richeri,55
Hypochaeris_radicata,184
Ilex_aquifolium,307
Impatiens_balfouri,85
Impatiens_glandulifera,69
Imperatoria_ostruthium,42
Inula_conyza,63
Iris_foetidissima,40
Iris_lutescens,165
Iris_pseudacorus,72
Isatis_tinctoria,50
Jacobaea_adonidifolia,53
Jacobaea_erucifolia,53
Jacobaea_maritima,39
Jacobaea_vulgaris,114
Jasione_montana,100
Jasminum_fruticans,68
Juglans_nigra,122
Juglans_regia,186
Juncus_bulbosus,14
Juncus_effusus,80
Juncus_gerardi,16
Juniperus_communis,70
Juniperus_oxycedrus,312
Juniperus_phoenicea,86
Juniperus_sabina,50
Kerria_japonica,31
Kickxia_spuria,35
Knautia_arvensis,94
Knautia_maxima,53
Koelreuteria_paniculata,101
Laburnum_anagyroides,166
Lactuca_alpina,32
Lactuca_muralis,49
Lactuca_perennis,74
Lactuca_plumieri,43
Lactuca_serriola,66
Lactuca_viminea,35
Lagurus_ovatus,41
Lamium_album,97
Lamium_amplexicaule,41
Lamium_galeobdolon,65
Lamium_maculatum,122
Lamium_purpureum,156
Lantana_Weed,1031
Lantana_camara,179
Lapsana_communis,63
Larix_decidua,209
Lathraea_clandestina,53
Lathyrus_cicera,78
Lathyrus_latifolius,103
Lathyrus_pratensis,46
Lathyrus_sylvestris,47
Laurus_nobilis,436
Lavandula_stoechas,50
Legousia_speculum_veneris,80
Legume_Blister_Beetle,260
Leontodon_hispidus,48
Leontopodium_nivale,41
Lepidium_draba,76
Leucanthemopsis_alpina,42
Leucanthemum_vulgare,97
Ligustrum_vulgare,176
Lilium_martagon,93
Lilium_pyrenaicum,38
Limodorum_abortivum,54
Limoniastrum_monopetalum,45
Limonium_narbonense,43
Limonium_vulgare,43
Linaria_alpina,70
Linaria_repens,103
Linaria_supina,51
Linaria_vulgaris,88
Linum_campanulatum,44
Linum_narbonense,36
Linum_suffruticosum,39
Linum_usitatissimum,46
Lippia_triphylla,45
Liquidambar_styraciflua,182
Liriodendron_tulipifera,256
Lithodora_fruticosa,85
Lithospermum_officinale,64
Lobularia_maritima,66
Locust,1409
Loncomelos_pyrenaicus,46
Lonicera_alpigena,42
Lonicera_etrusca,59
Lonicera_implexa,39
Lonicera_periclymenum,59
Lonicera_xylosteum,125
Loose_Silky_bent_Seedling,762
Lotus_corniculatus,136
Lotus_edulis,41
Lotus_maritimus,61
Lunaria_annua,108
Lupinus_angustifolius,30
Luzula_campestris,49
Lychnis_coronaria,37
Lychnis_flos_cuculi,82
Lycopsis_arvensis,51
Lycopus_europaeus,68
Lysimachia_arvensis,108
Lysimachia_nemorum,43
Lysimachia_vulgaris,106
Lythrum_salicaria,97
Lytta_Polita,1897
Magnolia_grandiflora,255
Maize_Seedling,257
Malus_domestica,114
Malus_sylvestris,92
Malva_arborea,81
Malva_moschata,129
Malva_neglecta,34
Malva_setigera,54
Malva_sylvestris,228
Mango_Fruit_Fly,505
Mango_Hopper,806
Mango_Leaf_Webber,210
Mango_Scale_Insect,487
Mango_Shield_Bug,578
Mango_Stem_Borer,351
Mango_Tip_Borer,226
Matricaria_chamomilla,52
Matthiola_incana,30
Matthiola_sinuata,40
Maytenus_canariensis,20
Meadow_Moth,354
Meconopsis_cambrica,62
Medicago_arborea,43
Medicago_lupulina,35
Medicago_sativa,96
Melampyrum_pratense,59
Melia_azedarach,253
Melilotus_albus,84
Melissa_officinalis,57
Melittis_melissophyllum,97
Mentha_aquatica,79
Mentha_arvensis,28
Mentha_longifolia,63
Mentha_spicata,43
Mentha_suaveolens,65
Mercurialis_annua,68
Mercurialis_perennis,57
Microthlaspi_perfoliatum,69
Mirabilis_jalapa,72
Misopates_orontium,39
Mole_Cricket,1394
Monotropa_hypopitys,42
Morus_alba,332
Morus_kagayamae,12
Muscari_comosum,68
Muscari_neglectum,82
Myosotis_alpestris,78
Myosotis_arvensis,65
Myosotis_scorpioides,56
Myosoton_aquaticum,43
Myrtus_communis,90
Narcissus_assoanus,132
Narcissus_dubius,116
Narcissus_pseudonarcissus,59
Narcissus_tazetta,35
Nasturtium_officinale,47
Negative_Weed_Other,9106
Neotinea_ustulata,46
Neottia_nidus_avis,68
Neottia_ovata,67
Nerium_oleander,417
Nigella_damascena,65
Odontites_luteus,86
Odontites_vernus,48
Oenanthe_crocata,38
Oenothera_biennis,48
Oenothera_glazioviana,65
Olea_europaea,570
Onion___healthy,390
Onobrychis_viciifolia,50
Ononis_minutissima,35
Ononis_natrix,45
Ononis_reclinata,39
Ononis_spinosa,73
Onopordum_acanthium,60
Ophrys_apifera,127
Ophrys_arachnitiformis,45
Ophrys_aranifera,109
Ophrys_bertolonii,42
Ophrys_fuciflora,35
Ophrys_insectifera,59
Ophrys_lupercalis,28
Ophrys_lutea,91
Ophrys_passionis,60
Ophrys_scolopax,103
Ophrys_speculum,36
Ophrys_virescens,65
Opuntia_ficus_indica,135
Orange___Haunglongbing_(Citrus_greening),3720
Orchis_anthropophora,75
Orchis_mascula,143
Orchis_provincialis,39
Orchis_purpurea,150
Orchis_simia,58
Origanum_vulgare,115
Ornithogalum_umbellatum,118
Orobanche_amethystea,50
Orobanche_caryophyllacea,44
Orobanche_gracilis,48
Orobanche_hederae,35
Orobanche_minor,38
Orobanche_rapum_genistae,38
Osmunda_regalis,41
Ostrya_carpinifolia,109
Oxalis_articulata,45
Oxalis_corniculata,99
Paddy_Stem_Maggot,261
Paliurus_spina_christi,172
Pallenis_spinosa,48
Pancratium_maritimum,116
Papaver_alpinum,44
Papaver_rhoeas,191
Papaver_somniferum,54
Pardoglossum_cheirifolium,54
Parietaria_judaica,90
Paris_quadrifolia,65
Parkinsonia_Weed,1016
Parnassia_palustris,101
Parthenium_Weed,1009
Parthenocissus_quinquefolia,74
Parthenocissus_tricuspidata,72
Passiflora_caerulea,121
Pastinaca_sativa,67
Paulownia_tomentosa,65
Peach_Aphid,1279
Peach_Borer,491
Peach_Fruit_Borer,692
Peach_Fruit_Moth,5081
Peach_Leaf_Miner,71
Peach_Moth,385
Peach_Twig_Borer,449
Peach_Weevil,172
Peach_leaf,111
Pepper__bell___Bacterial_spot,997
Pepper__bell___healthy,1478
Perovskia_atriplicifolia,68
Persicaria_maculosa,68
Petasites_pyrenaicus,47
Phacelia_tanacetifolia,60
Philadelphus_coronarius,20
Phillyrea_angustifolia,428
Phillyrea_media,38
Phleum_pratense,37
Phlomis_fruticosa,65
Photinia_serrulata,73
Phyteuma_hemisphaericum,44
Phyteuma_spicatum,78
Phytolacca_americana,107
Picris_hieracioides,113
Pilosella_aurantiaca,69
Pilosella_lactucella,35
Pilosella_officinarum,58
Pinguicula_grandiflora,57
Pink_Bollworm,524
Pinus_brutia,49
Pinus_cembra,95
Pinus_halepensis,112
Pinus_mugo,81
Pinus_nigra,118
Pinus_pinaster,93
Pinus_pinea,81
Pinus_sylvestris,104
Pistacia_lentiscus,396
Pistacia_terebinthus,213
Pittosporum_tenuifolium,107
Pittosporum_tobira,448
PlantDoc-Dataset-master,1
Plantago_coronopus,84
Plantago_lagopus,30
Plantago_lanceolata,172
Plantago_major,51
Plantago_maritima,33
Plantago_media,47
Platanthera_bifolia,40
Platanthera_chlorantha,63
Platanus_orientalis,135
Platanus_x,490
Poa_annua,28
Polygala_vulgaris,65
Polygonatum_multiflorum,41
Polygonatum_odoratum,52
Polypodium_vulgare,53
Polystichum_setiferum,39
Populus_alba,328
Populus_nigra,373
Populus_tremula,151
Populus_trichocarpa,32
Portulaca_oleracea,53
Potato___Early_blight,1000
Potato___Late_blight,1000
Potato___healthy,152
Potato_leaf_early_blight,113
Potato_leaf_late_blight,103
Potentilla_erecta,56
Potentilla_indica,141
Potentilla_recta,59
Potentilla_reptans,50
Potentilla_sterilis,42
Potentilla_tabernaemontani,61
Poterium_sanguisorba,54
Prenanthes_purpurea,53
Prickly_Acacia_Weed,1022
Primula_elatior,59
Primula_veris,129
Primula_vulgaris,99
Prospero_autumnale,57
Prunella_grandiflora,34
Prunella_hastifolia,26
Prunella_laciniata,70
Prunella_vulgaris,79
Prunus_armeniaca,80
Prunus_avium,265
Prunus_cerasifera,93
Prunus_dulcis,334
Prunus_laurocerasus,260
Prunus_mahaleb,141
Prunus_padus,144
Prunus_serotina,26
Prunus_serrulata,89
Prunus_spinosa,241
Pseudorchis_albida,57
Pseudoturritis_turrita,45
Pteridium_aquilinum,81
Pterocarya_fraxinifolia,100
Pulicaria_dysenterica,98
Punica_granatum,306
Pyracantha_coccinea,66
Pyrus_communis,67
Quercus_cerris,161
Quercus_coccifera,281
Quercus_ilex,761
Quercus_palustris,44
Quercus_petraea,154
Quercus_pubescens,293
Quercus_robur,226
Quercus_rubra,125
Quercus_suber,123
Ranunculus_aconitifolius,53
Ranunculus_acris,38
Ranunculus_bulbosus,92
Ranunculus_flammula,62
Ranunculus_gramineus,38
Ranunculus_paludosus,33
Ranunculus_parviflorus,18
Ranunculus_peltatus,67
Ranunculus_platanifolius,25
Ranunculus_repens,45
Ranunculus_sceleratus,29
Ranunculus_trichophyllus,49
Raphanus_raphanistrum,82
Raspberry_leaf,119
Reseda_lutea,78
Reseda_luteola,49
Reseda_phyteuma,70
Reynoutria_japonica,70
Rhamnus_alaternus,208
Rhamnus_alpina,56
Rhamnus_cathartica,106
Rhamnus_pumila,41
Rhaponticum_coniferum,67
Rhinanthus_alectorolophus,42
Rhinanthus_minor,27
Rhododendron_ferrugineum,91
Rhus_coriaria,210
Rhus_typhina,134
Ribes_rubrum,29
Rice_Bacterial_Leaf_Blight,40
Rice_Brown_Spot,40
Rice_Gall_Midge,506
Rice_Leaf_Caterpillar,487
Rice_Leaf_Mite,409
Rice_Leaf_Roller,1114
Rice_Leaf_Smut,40
Rice_Leafhopper,1649
Rice_Shell_Pest,404
Rice_Stemfly,369
Rice_Stinkbug,856
Rice_Water_Weevil,860
Robinia_pseudoacacia,480
Rosa_agrestis,42
Rosa_canina,154
Rosa_pendulina,95
Rosa_spinosissima,56
Rosmarinus_officinalis,264
Rubber_Vine_Weed,1074
Rubia_tinctorum,42
Rubus_fruticosus,55
Rubus_idaeus,125
Rubus_pedatifolius,49
Rubus_ulmifolius,70
Rumex_acetosella,46
Rumex_crispus,55
Rumex_obtusifolius,41
Ruscus_aculeatus,409
Ruta_montana,38
Salix_alba,163
Salix_babylonica,87
Salix_caprea,204
Salix_cinerea,47
Salix_fragilis,67
Salix_herbacea,24
Salvia_officinalis,65
Salvia_pratensis,82
Salvia_verbenaca,44
Sambucus_ebulus,98
Sambucus_nigra,208
Sambucus_racemosa,98
Saponaria_ocymoides,87
Saponaria_officinalis,94
Satureja_montana,44
Saxifraga_aizoides,47
Saxifraga_granulata,65
Saxifraga_media,7
Saxifraga_moschata,24
Saxifraga_paniculata,73
Saxifraga_tridactylites,67
Scabiosa_atropurpurea,70
Scabiosa_columbaria,73
Scentless_Mayweed_Seedling,607
Scilla_luciliae,8
Scolymus_hispanicus,55
Scorzoneroides_pyrenaica,44
Scrophularia_auriculata,59
Scrophularia_nodosa,47
Scutellaria_galericulata,50
Sedum_acre,44
Sedum_album,62
Sedum_dasyphyllum,56
Sedum_rupestre,61
Sedum_sediforme,109
Seeds___Arborio,12671
Seeds___Basmati,200
Seeds___Ipsala,200
Seeds___Jasmine,200
Seeds___Karacadag,200
Sempervivum_arachnoideum,49
Sempervivum_montanum,34
Sempervivum_tectorum,47
Senecio_doronicum,77
Senecio_inaequidens,97
Senecio_ovatus,56
Senecio_vulgaris,102
Serapias_lingua,52
Serapias_vomeracea,69
ShepherdΓÇÖs_Purse_Seedling,274
Sherardia_arvensis,40
Siam_Weed,1062
Sideritis_romana,34
Silene_acaulis,57
Silene_baccifera,45
Silene_conica,27
Silene_dioica,78
Silene_gallica,53
Silene_italica,25
Silene_latifolia,200
Silene_nutans,73
Silene_uniflora,35
Silene_vulgaris,109
Silybum_marianum,152
Sinapis_arvensis,59
Sisymbrium_irio,49
Sisymbrium_officinale,62
Small_Brown_Planthopper,553
Small_flowered_Cranesbill_Seedling,576
Smilax_aspera,206
Smyrnium_olusatrum,100
Snake_Weed,1064
Solanum_dulcamara,127
Solanum_nigrum,107
Soldanella_alpina,62
Solidago_virgaurea,66
